frame,court_x,court_y,ball_movement,nearest_player,nearest_distance,second_player,second_distance,possession_player,possession_team
95,40.2,31.0,moving_down,13,1.8,11,2.5,13,1
96,40.6,30.8,moving_down,13,1.4,11,2.3,13,1
97,41.0,30.6,stationary,13,1.0,11,2.0,13,1
98,41.4,30.4,moving_left,13,0.6,11,1.8,13,1
99,41.0,30.6,moving_left,11,1.5,13,0.8,11,1
100,40.6,30.8,moving_left,11,1.2,4,3.5,11,1
101,40.2,31.0,moving_left,11,0.8,4,3.2,11,1
102,39.8,31.2,stationary,11,0.4,4,3.0,11,1
103,39.4,31.4,moving_up,11,0.3,4,2.8,11,1
104,39.0,31.6,moving_up,4,2.5,11,0.5,4,1
105,38.6,31.8,moving_up,4,2.1,10,3.8,4,1
106,38.2,32.0,moving_up,4,1.7,10,3.5,4,1
107,37.8,32.2,stationary,4,1.3,10,3.2,4,1
108,37.4,32.4,moving_left,4,0.9,10,2.9,10,0
109,37.0,32.6,moving_left,10,2.5,4,1.1,10,0
110,36.6,32.8,moving_left,10,2.1,14,3.8,10,0
111,36.2,33.0,stationary,10,1.8,14,3.5,10,0
112,35.8,33.2,moving_down,10,1.4,14,3.2,10,0
113,35.4,33.4,moving_down,10,1.0,14,2.8,10,0
114,35.0,33.6,moving_down,10,0.6,7,4.2,10,0
115,34.6,33.8,stationary,10,0.3,7,4.0,10,0
116,34.2,34.0,moving_right,10,0.5,7,3.8,10,0
117,34.6,33.8,moving_right,10,0.3,14,3.5,10,0
118,35.0,33.6,moving_right,14,3.2,10,0.5,10,0
119,35.4,33.4,moving_right,14,2.8,10,0.7,10,0
120,35.8,33.2,stationary,14,2.5,10,0.9,14,0
121,36.2,33.0,moving_up,14,1.2,10,1.1,14,0
122,36.6,32.8,moving_up,14,0.8,10,1.3,14,0
123,37.0,32.6,moving_up,14,0.4,2,4.8,14,0
124,37.4,32.4,stationary,14,0.3,2,4.5,14,0
125,37.8,32.2,moving_right,2,4.2,14,0.5,2,1
126,38.2,32.0,moving_right,2,3.8,13,3.2,2,1
127,38.6,31.8,moving_right,2,3.5,13,2.8,2,1
128,39.0,31.6,stationary,2,3.1,13,2.5,2,1
129,39.4,31.4,moving_down,2,2.8,13,2.2,13,1
130,39.8,31.2,moving_down,13,1.8,11,2.5,13,1
131,40.2,31.0,moving_down,13,1.4,11,2.3,13,1
132,40.6,30.8,stationary,13,1.0,11,2.0,13,1
133,41.0,30.6,moving_left,13,0.6,11,1.8,13,1
134,40.6,30.8,moving_left,11,1.5,13,0.8,11,1
135,40.2,31.0,moving_left,11,1.2,4,3.5,11,1
136,39.8,31.2,moving_left,11,0.8,4,3.2,11,1
137,39.4,31.4,stationary,11,0.4,4,3.0,11,1
138,39.0,31.6,moving_up,4,2.8,11,0.3,4,1
139,38.6,31.8,moving_up,4,2.4,10,3.8,4,1
140,38.2,32.0,moving_up,4,2.0,10,3.5,10,0
141,37.8,32.2,stationary,4,1.6,10,3.2,10,0
142,37.4,32.4,moving_left,10,2.8,4,1.2,10,0
143,37.0,32.6,moving_left,10,2.4,14,3.8,10,0
144,36.6,32.8,moving_left,10,2.0,14,3.5,10,0
145,36.2,33.0,stationary,10,1.7,14,3.2,10,0
146,35.8,33.2,moving_down,10,1.3,14,2.8,10,0
147,35.4,33.4,moving_down,10,0.9,14,2.5,14,0
148,35.0,33.6,moving_down,14,2.2,10,0.6,14,0
149,34.6,33.8,stationary,14,1.8,10,0.4,14,0
